sentiment,text_clean
0,worst session
4,pop
0,god single ladies dance king dying hand
0,leaving
0,
0,home college killing standing
4,bed
0,feel without
4,would
0,wish set right
0,yeah blackberry work really
0,came ridiculous rain
0,ugh make bad
0,
0,well mine choice
0,reason sent whole comment picture
4,already milk sugar
4,moving july hell yes exciting
4,rest week
4,wait
4,trip
4,mean love love didnt dark side yea able
4,watching fight club
4,sorry god amazing share even enough perhaps reach person
0,lost place line theres service cry
0,make better
0,yeah hun night even tho
0,still waking twilight past three
0,outside
4,morning least morning
4,right fix buy little
4,look boring taste nice idea enjoy
0,knew true
4,hehe great season sure also grow
0,voice much
0,
4,course eat
4,movie might well write watch
0,sitting mind grad class
0,start massive due within
0,star birthday getting older
0,
4,wednesday monday dad tuesday night
4,love fake true either make great point night
4,hello thanks following glad
4,date someone later
0,john still john honestly title
4,sister sis
4,welcome give sun even rain
0,
0,met jonas
0,wish could stayed later hate bed early especially
4,thats spent weekend far
0,
4,wow cool thanks cannot wait see year
4,hello fail thing may last tweet
0,already tuesday
4,always cute
4,new bed ugh guess
0,rob
4,ocean blip
0,hey great pretty little head headache tired
0,sad
0,live
4,miss come half conversation
0,come visit
0,mobile around late arrive days late
4,awesome
4,afternoon everything
4,weather year old girl imagine lived every night
0,show pride
0,work need finish book
4,
0,think save web pic mail holding image sad
4,well soon
4,taking kids movie tonight see
0,thanks reading
4,hey tom talk please nice girl really thank
0,sitting office
0,losing matter coz lose anyways
4,guess radio listen
0,tired right hate bring school friday needs come faster
4,thing morning
0,dont want chemistry exam
0,
4,thanks
0,
0,pop target glad went awesome still coming visit
0,lunch wedding party wedding
4,love
0,said cut
0,havent home since break hope love
0,
0,foot asleep
0,watched yesterday radio sense
4,
0,feel another coming
0,someone ran kitten street tried help car real bad poor wee guy
0,yeah free without awhile
4,life ask
0,may last month
4,life golf monday starting enjoy
0,miss much
0,want genius bar
0,sad see two days
4,excited
0,want account already waiting
4,mail way wait
4,said said broken love song though
4,
4,
0,hard drive anyone computer lose
4,thanks much sweetie lot ill latest
0,application first ever finally middle age
0,leaving
0,poor hurt foot
0,last bed wide
0,sad school year end school see
4,yes would perfect ending week
4,yes keep
4,wish city think could really talk
0,hate doctor three blood
0,speak spanish
4,even spelling still send new link send people
0,listening believe life love sad already found dress yeah see
4,head think another half hour least might tweet later
4,best believe ima money honey
4,breakfast lunch catch interesting fun people soon
4,drink night wanting glass
0,cant sleep
0,yeah cat took bed
4,cleaning new
0,yes well sleep sorry
0,dying slow painful death
4,looking
0,wedding party wondering meet future husband people luck
0,
0,hot need least window mention felt bit hot british weather needs make mind
0,hate want work
4,fun
4,short dress sunday
4,win year headed half see thursday
0,event hate thursday crazy
0,short trip
4,finish shower watching
4,ask
4,night love new apartment need meet people
4,crew doubt
0,wish line gig tonight
0,taking hour already
4,eating campus awesome food awesome people
4,man love
0,never found great though billy thing hilarious
4,weird mouth eating doesnt seem bother
4,side town
4,think need change service well
4,last paper sea
0,stupid rain june least wet grass new car
4,loving new
0,
4,following
0,ton school work tell dad take train see
4,following
0,
4,saw last post way past bedtime type
0,need work else
4,soon phone call breath guy
4,golf anyone
0,sorry sick rose hope feel better
4,great show
4,mall
0,horrible headache help
4,watching love actually work
4,finally first true beat space
4,great something take care
0,maybe
4,getting ready pick brand new
0,actually work stuff
0,cool night homework
0,would piece phone completely leave tweet need
4,hey right
4,little better
4,history
4,final total maybe make tomorrow night
4,add
4,watched movie love pretty sure hot loser guy nice
0,cant see look
0,smoke pretty although
0,wash
0,moving last night heat mid week
0,work
4,thanks
4,taking come photography
0,angry
0,grad believe year since
4,pretty month plenty spending money
0,bed tried lonely since went sleep
0,nothing
0,must bed
0,
0,work late
4,interesting
0,mess every thing life
0,bye bye extra sorry tiring impossible
4,watching dark cheer funny see first ever movie dave
0,send post card broke even leave damn would funny dead serious
0,coffee chocolate
4,run recommend bug
0,surprise
0,sore arm
0,jesus days nobody
4,song game thing fun four times
4,yep park free way though
4,woke ready class
0,really want ready work
0,cannot sadness able see rob tonight concert
0,watching cell phone rather hospital
4,win door first smile year bless every week
0,yet another final tonight
0,damn well guess hopefully sound check amazing
0,read news funny close still stay
0,history
4,pretty
0,thanks weekend call bout
4,control need cool cant nobody hold keep
0,want
4,old friend need tonight made feel bad life kept laughing
0,working till
0,mum watching thing still worried holiday
0,
0,already bed fly
0,need flash cam basic cant plus light
4,look cute stuff give
0,week left start lying age
0,never say never mind
0,think come guess boo woo
4,blessed lunch something eat amazing god lunch
4,starting park
0,sis miss sis gone gone away sad blast
0,seriously bad pouring
4,round quite bit
4,think funny people look driving never seen fine driving sick ass ride probably
0,getting ready finale
0,feel bad making angry
0,totally
0,nose
4,seeing lots sold
0,killer headache half half bad could use news
0,hey wish channel could watch love much miss
4,tough
0,waiting cam tell done
0,woke shower taking job interview
0,tried music half hour tried really boring book still wide awake
0,girl drama much
4,bring picture guy adam movie
4,actually huge sign play game new book
0,still use twitter
0,dont text
4,excited perform new song enough rubbish tonight see
0,always thought could make think right
4,sorry man drama next try something cool gig
0,everything else lake ouch
4,fresh market white wine summer
4,love feeling spring air beautiful month
4,thanks love lot promise return
4,check leave two
4,win
4,hey much fun
4,love
0,really sad really want watch old
0,side much candy thanks
4,ate lunch stuff around house
4,running always set right
4,curry
0,work
4,feeling sitting take picture
0,god poor bird
4,first tweet
4,jealous
0,camera talk thing happy also tell
0,home work ugh long night want chicken soup came nothing even close
4,week
0,tried following
4,boo come
4,
0,sick think infection suck
0,waiting home hospital cause eye open
0,shoot cant make ice cream till cant drive tired fall asleep take
4,eating cheap list yummy
0,would much better would
0,bet public smell
0,miss see west side
4,daughter saved
4,please vote log bit
0,sad broke arm
4,video epic watched times nice work mate write
4,graduate high school next year
4,well welcome opinion wrong opinion enjoy cool
0,past least bathroom
0,grandpa sea world
0,prob game sunday may cut short
4,
4,bed night
0,tonight concert guess thinking new album still
0,update watch rather try update data must user error
4,want bit
0,pizza
0,morning taking airport sad leave
4,learned guitar
0,gone bad happen solution new
4,thanks love follow
4,always open net date whenever want use
0,never tried let works yeah much mine cut yesterday
4,yeah love ocean sound smell sigh much either unfortunately
0,ice cream
4,funny interesting drive amazing dinner love two best tonight
4,really fun
4,yes course save face fact made
4,thanks
4,comes roll taste little way
4,morning
4,yes man beat happy share joy
0,even strength sleep
0,sad movie
0,shoulder still
0,need act together
4,thinking think let
4,far feeling little weather otherwise thanks
0,link yet series three fan
0,super expensive love used book store though saving new couch
0,sad people sick
4,love tweet angry
4,sunday movie
4,finally use thing
4,last full high school say miss soon maybe
4,thanks boo
4,sweet twitter
4,watching little people
0,still seen head shame sad excuse future help fact less
4,cannot wait new moon film come
0,brilliant
4,running morning later thank
0,told fall
0,sorry fan
4,welcome
0,lots work afternoon
0,soaked walking work done work already
0,feel well
0,play without everything
4,downtown love
4,exhausted home pretty happy
0,theres watch man
4,sometimes job
0,famous
4,far never
0,sad
4,photo contest record
4,thank
0,little girl
4,
0,interesting
4,love weird light
0,cant left
4,check twitter tell sent
4,ugh little
0,starting sick
0,australia really sad worried
4,coming soon
4,morning everybody
0,hear hear hate
4,morning dad took tie wear ninja business right traffic
0,fam
0,sick beautiful last three swimming
0,according summer around till august yes wit weather rain later
4,life live without mike ball twitter
0,family someone shoot kill church
0,sad
0,
0,watching adam graduate
4,finished could probably test little thing tomorrow need
4,
0,cant believe nasty old man seriously wow theres way look star
0,problem
0,camp ground work morning
0,french chemistry
0,hey little party year old least thing world
4,morning
4,keep drink give money
0,yes king dick need keep watching show behind season net
4,big
0,hanging want
4,talk tomorrow probably
0,hearing broke feel making hear need
0,making want
0,ready work mood bunch mean
0,must work
4,cannot wait holiday excited looking forward
0,work long weekend
0,sad depressed
0,suck come say
4,think apparently meant sleep
0,last sunshine cold tomorrow
4,row row
0,try new system left phone home
0,wish friend
0,times always post
4,dressed outside people real world
0,bad maybe think west trust white taste nasty
0,hurt
4,great lake weather love morning
4,think amazing cool
0,anyone let photo came version mine work
4,think would hope
4,awesome keep work feel free follow
4,boat literally
0,another work wait til done school
0,evening hubby watching movie fell asleep wake
0,well morning awesome class workout little
4,getting together love
4,sunday morning sat work sad think cut grass instead
4,ever change mind design project actually change right
4,morning slept late sleeping late max
0,daddy away june
0,looking forward dress shopping tomorrow afraid way able want
4,book every recipe order
4,love cake stuff blip
4,wow feel thanks follow love
0,writing sad watch
0,grow hair grow want long hair
4,getting ready wish luck
4,rise seriously tired stuck crossed
4,november new moon wait
4,want moment ever end
0,better use blackberry
4,sorry album already anyway
0,last night along class jack tho
4,
4,dead probably
4,went great show
4,absolutely hilarious definitely best movie seen year
4,latest jay jay leave comment please
0,make mine away hungry tho
0,missing
4,miss chat often stuff chat soon
0,stomach bad
0,slept thats second two asleep without
4,happy relax worry bout
4,found thanks
4,thanks love
4,use phone well
0,man face
4,saturday home
0,kind disappointed thats bad
0,never
4,true cook
0,ready work
0,found susan lost
4,twitter
0,even considering much better mobile speed
0,sad last dont school learning
0,bad wine headache
4,people great weekend
0,install crossed wish could install
4,totally school bus mate main movie miss buddy
4,gone already
0,yeah phone sad reason
4,right post look see option change
4,well bed woke much work
4,easy laugh
4,watch joke tell look wave
4,
4,decided must find thing everything clean
4,
0,australia live
0,headed miss baby already
0,work work till every
4,
4,working couple big sorry
4,finished watching robert way
0,aim home home blah
4,bad getting done
4,chilling home
4,hanging
0,sorry
4,yes rob twitter thanks set
4,still lunch without thank baby love
0,listening amazing talent really last sad
4,cant stay falling
4,coz every
0,watching trailer sure
0,yeah talking pizza made call wait hour
0,agree wish ball
0,seriously left
0,broke heart
4,happy birthday dinner hope fun tonight wish
0,really unfortunately
0,next schedule drop drama art pick
0,bad news dentist wisdom teeth need come year
0,wondering nobody ever twitter
0,hear please wait work
4,mind following could
0,really everything
4,finished way home
0,
0,people
0,true really cream
4,hey
4,mine remember drinking well luck next year direct message
0,right bout bed
0,lost please help find home
0,wonder
4,morning
4,nap
4,mean say
0,johnny kill
0,another thing people sometimes forget plan horrible seeing video left behind
0,danny bet
0,could give mine quick look
4,yep
4,dont think need jump anyone hot
4,sorry dear brain hard also
0,mum drink green tea
4,ready somewhere talk soon
4,well link via twitter enjoy
0,bye
4,amazing always fan please reply would dream come true
0,hate mine water
4,come bring rest celebrate
4,anybody days
0,basically first part spanish final
4,thanks
4,stop new order blue monday mix blip
4,thats
0,
4,rain rain rain rain rain sleeping read
4,new mean new overall
4,waking morning take easy later see band play band sure
4,cartoon watching thing escape eating cereal
4,course key made come
4,lady hot happy deep hard loose ass
0,sadly last place
4,new sure use something
0,exhausted
4,hehe watching mum come bath west show
0,sometimes hate living far country need club store
4,
4,waiting
4,
0,pretty work diet rain
4,thank
4,went without eating
0,neck hurt
0,crap stuff made forget test due class
4,best went
4,thanks follow glad great eat
4,problem plain button
0,sweet jesus making yes course thinking steak
4,long title thank
0,probably house right
0,gone tomorrow bloody rain washing money away
0,set something
0,outside
4,thanks sweet
4,terminator four tonight swear watched times cup ready
0,yeah doesnt want anything
4,something home
4,boo
4,anyone age might sit possibly
4,old school love
4,link thanks
4,take nice hot shower
0,
4,room probably leave tonight unless something comes
0,god getting fever working
4,hey radio
0,woke ate toast hungry tho eat
0,seriously help twitter hold
0,think live different feed
0,hey sweetie update yet come til end summer
0,first weekend work year ill
4,getting new really need
4,morning productive
4,prob next college
4,sexy body boy body follow buy book
4,office least still use twitter
4,hey enjoy weather
0,happy wish see dad
0,hate jack drinking mad dont think love
0,
0,ruined mother
4,yes also world anti set life
4,apple
4,set thats right damn
0,stuck fly gross
4,web faster faster web
4,hope feeling better
0,adorable pass new moon preview
4,drive sign paper saw sign
4,
0,bank wish
4,world
4,check great site word
0,walk bus stop freezing wet
0,man late
4,happy
4,hey everyone follow use please
4,friend mine give something eat pray say people cooking food
0,well evening come hurry open
4,sitting
0,gloomy non stop rain let tonight
4,start
4,met nice hubby great days
0,heck load apple getting blue question
4,yes right pretty awesome
0,crazy enough little need fit little man
0,dont live
0,cold awesome
0,morning everybody yummy woke even breakfast yet
4,hey hey rather well busy summer classes well much
0,
4,twice starting never
4,thursday night
4,shopping morning science revision
4,indeed important
4,saw star trek red kicking ass
4,wish die alice perfect together
0,want
4,lived first life
0,damn final vote
0,
4,tell cool keep head sure work end
0,fam birthday happy birthday last two days home
4,danny nice brazil hope
0,watching school update lame usual weather winter yet
0,bed tomorrow
4,bad fun hell
4,movie title cool though
0,never make feel guilty whenever without
4,hate series
0,sat mail tomorrow want show
0,used stick face cold water short tho sleep window shut
4,come check want event page
0,morning hope everyone days right minute jump
4,funny demi
4,meant say sleep thing men give
0,still use video links ticket tonight unfortunately
4,watching clean house cook dinner yes may
4,tuesday
0,working
4,joy
0,cousin boring
0,yep long week end season sunday live
4,friend ball
4,feeling love thank blip
0,swollen due put anything sad
4,came home work gym week weather bad getting worse cant stop
4,father son dance act funny
0,wrong tweet first sorry
0,number
0,late already around wearing high course
0,wish could
0,cant
0,lost party
0,best thing ran sugar sugar free coffee open sugar
4,video bit music still works
0,hello andrew still
4,think life perfect
4,happy thought
0,late
0,cant brain much
4,getting better
0,install breakfast shame air flight
0,home tonight tired kill right
4,stay healthy tho
4,white safe eat grow
4,bye people use computer
0,date night success despite food girl want dog bad
4,feeling sick well people bus anyways night
4,love dogs make feel walk past glass door freak
0,yesterday saw
0,wake less five boo work
0,busy evening painting ahead tired
0,sad show tonight
0,totally love weekend course install
0,caught boo
0,sore
0,hope since lost wear
4,hour counting days enjoy every minute hair done spa wait
4,nice
0,yeah line pretty bad rare even worse
4,blue
0,never thought start working hour days boo wonder
4,hey thanks follow saw far live
4,yes
4,honestly wishing happy would dream come true cause favorite
4,
0,extremely keep sleeping really
0,still feel real felt better last night little bit
0,way school
0,long cold rainy worst yet
0,bad news might moving great dont though
0,word street market sadness
0,sky connection
0,stuck work til put profile soon
4,house eating
0,feeling sick work whenever save
4,feeling really well
0,bugger knew watch something never
4,
4,finish work home long night shift great night everyone
0,thought alas say ticket ended
4,woke
4,mate
0,still take
4,watching calling
4,free phone keyboard probably never future
0,terrible dont think anything make right
0,must married saw wife
0,close stage also old phone
0,braces hurt long long really painful
4,college sun rest point
4,come soon
0,fan comic series men movie make want die little inside
4,new job
0,leave stay bed lunch woke early morning
4,name
0,need talk
0,already dog none cat
4,yes really great sleep
4,well onto group next library tomorrow
0,mike daughter hanging accident
0,feel bad much
4,
0,away safe
4,lunch beach cloudy rain dance
4,amazing made cry
0,boy made hot milk milk though
0,really wow well
4,hey saw excellent stuff follow tweet
0,watching jay leno last night tonight show
0,come following
0,gone
0,even tho talking lot deep feeling really depressed sad feeling
4,surprise looking
4,guess chinese actually
4,seriously fail remember update see rent last night meeting amazing
4,take two feel better soon
0,interview computer scary could lost two work
4,beautiful baby boy wife well
0,course total see total apparently thing girl
4,would already getting
4,found boy style
4,yes
0,hey wish meet
4,well done truly amazing
0,sigh aint finished next week aint till end june
4,also working mac
0,
0,apparently window left open screen guess moving
4,put tea
0,lately every able make work
4,caught lost track well fun
4,hate
0,miss baby dog
0,rain shut hope
0,wishing really bad leaving trip prob happen year
0,sick nervous feeling stomach away bad kind days joy
4,gotten much since last keep touch network
0,believe missing family
0,evening study sometimes hate life see world
4,buy
4,heck
0,ready trip yesterday morning alone three
0,stop
0,slept right love
4,house half mad
4,always look street
4,famous name use bring entire
4,running monday ran three miles without
4,shopping right
4,nobody ever different
0,ugh right eye stop according may sleep stress
0,money saving washing
0,tired lot looking forward gaming tomorrow break
0,agree site nobody ever crazy
0,yesterday ate chicken office pizza
0,damn
0,sorry cant walk start catching fire break sorry boo
4,read world
0,jon kate cute together
4,awesome sorry suck dont let anyone voting
0,sleep
0,part sure made right last night rest end leaving
0,fell top morning
0,well meant
0,math classes starting
4,night sweet
4,thanks much
4,sure show
0,movie sad
4,wonder wife would live days could
4,cousin exciting
4,actually done hair guitar finish almost except blonde
0,short mean cant find vip winner
0,happy another character another sad true
4,ill send text meeting place
4,happy monday together
4,music bunch crap
0,non thanks
4,hell yeah start saving right
4,sat beach
4,hate paying watching money away
0,grr look
4,cute trying hand see cinema
4,beautiful walking
4,find needs
0,yet
0,wish
0,tonight though
0,dont old damn
4,glad finally
4,well sure make fine bear
4,ago right
0,stayed home mouth hurt
0,demi unfortunately bought havent seeing july
0,chemistry hardly answer even simple question
0,feeling quite jealous brother court
0,finally left kitchen sit mostly eating want share
4,check peace sign hair damn joe young remember
4,totally july
0,really
4,english
0,waiting around city til
0,girl yet bed aint working
4,tomorrow
4,next downtown stop
4,love morning chill
0,south opening around never morning person
0,bloody silly people
0,board bus still feeling yesterday
0,daddy recently happy happy old
0,project worst
4,singing great band concert
0,earth still
4,really new album
4,help next epic gig
0,person feel
0,ill show nose bad cough sound
0,computer acting weird
4,joke course
0,mean
0,someone didnt love
4,candy radio weekend cold player love music
4,dig ton yummy food family made
0,twitter computer
0,stuck almost turned use
0,watching
0,also since lily cant believe week ago
0,bad far found still though
4,watching monster law enjoy rare night
4,plan
0,upset twitter put everything might delete done stay
4,new tweet alone
0,wrong math low blow worth
4,
0,
0,none wish
4,worry gorgeous
4,hey lady
4,month
0,
4,hey show
0,agree
4,morning twitter
0,still sum hit west
0,matter hard try make net present project positive
4,yes delicious send mike
0,club week boring cause let anything club
0,man year miss
4,thank god sunday
4,yes yes
4,hey read last tweet think hot clothes
0,luck keep losing
4,need life food big
4,absolutely say terrible two three age
4,zoo hope nice family
4,dont susan stop look around
0,much work
4,enough
0,work wish someone would come away aha
0,brand new bye money
0,grocery still havent finished laundry
4,easy weekend big great
4,bear kept
4,tweet tweet breakfast shopping swimming
4,funny chance
0,yeah ticket situation bummer
4,anyway lovely brother bed see tomorrow
0,weekend spent note weekend start great summer
4,shake shake shake shake shake
4,fun always much
4,definitely appreciate invite keep would love
0,music perfect
4,love
4,following
4,finally married man love
4,well feel closer home
4,process let available see
0,gosh wrong people something case
4,yes tried times sound dumb
4,right game total later
4,thought something cricket
0,really annoying around long even longer
0,poor guy still though pic ruined life
0,wee miss way say papa tea instead tea
4,night
4,hanging try clothes
0,yes officially
0,death right
0,think live chat swear keep missing fun
0,church made hanging went round country house tea cake dinner middle
0,
0,
0,business law test took looking forward test
0,drinking
0,writing song starting bit
0,bye two
4,anything
4,actually yeah twitter
4,decided give key away write message twitter within next answer key
0,man wow serious short season huh mid may
0,thanks reply man never
4,pretty maybe better
0,everyone cool
0,depressing
4,trying short
4,worry dude kind stuff
0,early
0,cant find twitter
0,feeling bad could kind last minute still miss share
4,
0,cute lucky really cake grad party sick
0,guess meant always twitter
4,black heart
4,perfect tomorrow make sign please
4,glad worked well rain sure coming hard though
0,never instead every fair
4,way wedding
0,middle trying lost rob stuff old
4,bunch glad finally made dinner
4,church beautiful baby cousin
4,another busy tomorrow
0,hate weather
0,theres nothing interesting
4,yet forgot zone sleep tomorrow
4,try light
4,hey
0,waiting car fixed sad
4,fail stop writing ray love
4,twit french enough pick
4,play
0,
4,
0,brother wont share cereal
0,whats wrong
4,thinking
0,
4,laying couch warm room morning
4,realize shop really cute stuff
0,shame
4,listening
4,mean obviously game old almost gaming awesome
0,five short sad
0,virus kept lost everything
0,tomorrow kids many
4,fantastic tea revision
0,possible night friday cos still car
0,rough
0,miss talk school
0,need see least
0,
0,dad want happy
0,burned
0,still heat
0,aint people
0,took four half hour dinner god become father
0,never life
4,love ice cream
0,find
0,twitter use error tried twice
0,much better last hope need night
4,picture
0,sad
4,twitter
0,making movie missing game
0,great boston always dinner later weekend
0,feel lost keep running head basically headache hurt
4,see
4,also bitch need find middle ground
4,great study tonight fun shopping night night
0,great power comes name office door bad
0,morning hate
0,taking dentist fun
0,long
4,morning sunny work
0,bed voice chat
0,awesome beach morning afternoon bad leave tomorrow
4,three
4,jonas concert experience
0,woke big think sad see
4,big fan either turned channel came excuse late night
0,latest canada
0,want every smell air
4,home
4,loving weather shake
0,lost game
0,news new bad news
4,thanks keeping
0,still
4,thank much happy
4,direct amazing really great rescue english need
4,jeans really jeans
0,science revision
4,course cant leave mix
4,papa
4,eat ice cream little sister need learn little bit
0,school talk
4,dinner
0,miss art class
0,wishing right watching
4,great garden enjoy home
4,sister holding thanks keep coming
4,making process
4,thank much dry
4,thursday see ball
0,team
0,
4,rock band trailer game trailer click sorry bit
0,doc stop use tried recommend
4,recently
0,bugger holiday left
4,buy grand
0,sent message read without
0,plane last row close bathroom tea water still
0,enjoying laundry boo
4,need twit pic
0,long learn grr
4,waiting baby
0,truck nice
0,honey sorry even say always
4,stayed till watching something went around think saturday
0,revise
0,ugh worst pretty
4,hun talk soon sure would still take camera anywhere would
4,love lost
4,thanks still work progress make mind want great night
0,need warm weather
0,ugh hope sick spent weekend bed
4,
4,made rather aha
4,dont
0,finished days garden need tub sleep tonight
4,
0,tired
4,church book burning
0,clue take care
4,luck
0,leaving half everyone god half school night
0,shopping hurt bad
0,dust covered car home
4,bread sort give every meal inside
4,well
4,sorry nice
4,starting little light
0,work already home
0,phone
0,information getting
4,eating game
4,
0,match made twitter heaven fun watch read
4,nice love see come
4,running bird front
4,right want reply goes
0,actual michael guy girl twitter bit sorry
0,really liking year seen
0,sick everything making early sad
4,great start drink much coffee though said might
4,mark last night drink much nasty
0,ugh
0,wait
4,block everything
0,ask want love movie cry
4,made
4,glad name
0,feeling well
0,nose
4,wish without coffee
0,guitar skin walking hungry lately
4,watched new episode
4,
4,
4,look great paper paper see test drive
0,tummy still
4,week already miss beautiful
0,suck cause theres way november money saved guess missing boat
0,thing hun barely let group pic show
4,finished run
4,say away apple eating contest yesterday
0,sleep next work together
0,blah week presentation dance
4,thanks home check
0,read saw girl post dick
4,thank rainy tired basketball
0,wish could husband weekend
0,whats
4,drinking coffee bed
4,thanks
4,twitter game
0,first twitter learn exam
0,picture work
0,finally done paper think head
0,tonight
0,still sleepy take bath work
4,problem computer couple ago
0,awful sorry better ask doc
0,night
0,much wish happy yesterday
4,kill love
0,status account well could fresh start old getting
4,amazing night last night love
4,alright let
4,never sure dinner bit dinner tonight
4,sugar rush still crash
0,work lost
0,
4,son old think bring money
0,work tomorrow
0,much least
0,
4,dinner bit drinking tonite
0,morning next imagine bag
4,waiting read
4,first pool
4,say hello love
4,yes year never able tell
0,eat heading home coming real soon
0,miss tonight
4,love picture dog love cyrus family
4,bout bed
0,leaving work
4,lucky
0,finished last stick want
0,life wasnt great ago
0,love dream someone stop thinking
0,apparently adam new single
4,
4,bit difficult explain send link
4,well worth put repeat
0,tried make soup much better least cook properly
0,need laundry suck
4,sweet thank chat fashion fashion
4,red wine
4,home spent zoo highly need fun
0,wish right watching school perform miss
0,
4,would nice holiday spot hard working hard
4,right thinking wild thats awesome ended
4,love little love hot shot lot major
4,phone
4,thank much follow also
4,
4,add everyone train pay vip
4,glad made dry land hope awesome cant wait hear
4,nice see sunshine morning paint house find light
4,remember days someone bad thing anyway ran following cool
0,plan gym trip well hour work either late work early tomorrow
4,well bed wake
4,luck
4,thank
0,believe tomorrow last ninja show
4,future
0,twitter currently
4,much done car fixed went bank work make
4,broke leg sunday hospital well
4,sad see best thing well since
0,lot
0,yes stop trying late really sleeping
0,update coffee work though rather building site
4,saving money
0,cant sleep dont want wake anyone
0,sitting present
4,cannot believe via twitter cute
4,fabulous check video bit
0,bit leg stand chance getting bottle beautiful
0,early bed early rise taking son airport tomorrow boston miss
4,funny
0,theres new tree want
4,little nothing major first big cup sitting keyboard
4,wait may
0,suck ouch
0,sent problem ordered would fine wait till tuesday
4,pop breath first life surprise face much
0,working
0,really bad might
0,watched taylor sad
4,thank awful weather park
0,yesterday much lazy feel
4,morning dear look please come brazil love brazil
4,follow friday
4,definitely well done
0,last days getting ready work moment
0,need finish lot
0,feel
4,anything new album something gay hey monday
0,hate always
4,two home twitter
0,buy wait
4,watching sis
4,fan mail fan mail yes yes yes
4,also spent small music
0,
0,still family party energy
0,tried attack
4,ugh anyone else sure
0,homework living room instead pool
4,feeling rather right
0,sad episode house ice cream bring mood
0,stupid summer
4,home boo soon
4,knew would year
4,drink well least rare home safe thanks
4,zoo tomorrow
0,computer let finish work tired
4,
0,tonight drive
4,make forever pink happy november act
4,beautiful done
4,wait see would wait home sure wait long
4,worth
4,doubt mind
4,store
4,well wish food luck
0,somebody turned heat already
0,load evil
0,fun think rest peace fun let begin something fun quick fast fast
0,use say rainy bit well
4,delicious better
0,
4,indeed
4,awesome even talk much well anyways
4,watching love
4,busy office summer already starting cool
4,
0,well two yet seen either fail movie
0,sick baby move even
4,trying fix mess new background
4,lot
0,singing twitter people listening yet
0,tired apparently
4,dinner calling
0,favorite pair jeans
4,loving sunshine
4,nice
0,usually rain fair riding
4,love match
0,
0,wow account money found song sadness heart
4,thinking vacation coming starting coming sunday
0,come leaving tomorrow morning
4,johnny
4,thanks blip
4,point never hand
0,
0,black
4,link
0,waiting kick blah
0,dick poor catch break
0,jealous invite
4,well situation make happen
4,besides beach please tell
4,keeping crossed michael job interview college teaching
0,real garden flat need thin
4,said dont dont early even think goes
0,lost couple think least case cry
0,damn dark hell ugh hate low key
0,think made angry
4,would say bit
4,starting early pool little working later
0,extra super late conference free actual thing tomorrow bed
4,need work word essay
4,sweet amazing beach reach
4,cool name
4,home fun
4,love
0,fun sigh
0,mommy burnt really hot
4,needs nice dress wear wedding
4,morning
0,party
4,always thing someone chocolate people
0,watching miss pretty much
4,talking bout much
0,add doc speak past experience fun feeling
0,moving painting repeat
4,said bye ago heading next come
0,still sad
0,miss weather
0,say
4,job done
0,cant log twitter
4,hero
0,home
0,feeling sunday maybe help
4,nice credit goes team made even touch mission
4,long twitter busy school finally site think
4,hey hey hey
0,yet actually buy dont hope second
4,put order
0,ill yet stay bed sleep cause damn school
4,also play mac game net enjoy
4,
4,great weather morning run
0,feel way
4,
0,still board tomorrow tired
0,mine much new
4,diversity next love see
0,wish little sister would home listen new jonas
0,please vote bit still vote also vote nick
4,lunch soon seen since lunch nearly year ago hope sing
4,right officially town see put hold useless comes
4,beautiful sunny
0,hey away weekend work
4,sorry almost birthday party damn need present
0,want see fun work play drunk mean sleeping bed
0,nothing ever miss
0,lose
4,happy mother
4,morning work til tomorrow proper first
4,anybody copy would share friend
4,access work since last night feel alone
0,took shirt soon sunny
0,never went still nice
4,think might
0,pick sure plenty
4,cool best
4,remember boss want want quit
4,lesson
0,
0,say bout ugh
0,man wait hope stay awake getting old monday night
4,saturday night sunday morning
0,giving fine plain text help
4,really shame really
4,need fun
4,
4,hey everyone
0,want swim pool laundry picked last night swimming stuff
0,would love stalking taking kids see later
0,thanks maybe tomorrow really new right
0,bed early mad run
0,said
0,nope rain york well
0,sorry traffic really moving
4,eating
4,left school wish luck
4,song
0,still birthday need sleep
0,hate movie late old wishing
4,glad later
0,waiting sleep wake early
4,
0,seeing sorry early morning
4,beautiful shame work least nearly weekend
4,thanks man great nice
0,usually suck code pretty damn awesome sad
0,must want buy cool
4,never alone think realize always person
4,watching end movie new moon trailer come
4,working guess need buy new
4,seeing drag hell tonight
4,
4,ran still sound may bad crossed
4,love
4,twitter follow tweet page
4,enjoying far
0,head forward hurt
4,thank
0,hope tomorrow nice
0,stomach
4,see love
4,lost far
0,sick summer
0,great party shame make end car shopping tho
4,already mocha
4,thanks sister everything
4,absolutely best night entire life
4,welcome
4,watch times
0,ray player network either despite screen showing otherwise best buy tomorrow
4,computer currently
0,craving hot milk desperate drinking water boring
0,leaving alone
0,though try care much still way white blow lead yesterday
0,
0,train damn damn damn late hate working
0,hope home doesnt help still tired
0,made worse home saw sent saying class would start check
0,major headache beer
0,heart miss days worked single anything stay
0,woke
0,start tomorrow book sam forgot
0,well would probably art watching use
0,keep forever
0,
4,water mind still drinking pop
4,meeting head later shopping course
4,job comes bring
4,getting ready bed saying night
4,limit story tell annoying help stress
0,school friday
0,vote
4,name perfect ending
0,though
